Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0201_0603Metric,116.9,-58.0,0.0,top
C2,10u,C_0201_0603Metric,108.9,-73.0,0.0,top
C3,10u,C_0201_0603Metric,103.0,-73.0,0.0,top
D1,KT-0603R,LED_KT-0603R,128.655,-52.3,0.0,top
DR1,DRV8210PDSGR,SON50P200X200X80-9N,127.0,-65.0,90.0,top
DR2,DRV8210PDSGR,SON50P200X200X80-9N,136.0,-44.0,180.0,top
J1,Conn_02x01,JST_JWPF_B02B-JWPF-SK-R_1x02_P2.00mm_Vertical,115.0,-45.0,0.0,top
J2,Conn_02x08_Top_Bottom,PinHeader_2x08_P2.54mm_Vertical,106.0,-55.675,0.0,top
R1,15,R_1206_3216Metric,119.0,-73.0,180.0,top
R2,120,R_1206_3216Metric,130.0,-73.0,0.0,top
R3,7500,R_1206_3216Metric,116.0,-54.0,0.0,top
R4,1000,R_1206_3216Metric,134.0,-56.0,-90.0,top
S1,TS-1187A-B-A-B,SW_TS-1187A-B-A-B,125.0,-43.0,0.0,top
U1,TP4056-42-ESOP8,SOP127P600X175-9N,135.0,-64.0,90.0,top
